School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
481830001661,ANDRESS H S,Texas,1-Yes,2-No,2-No,2-No,2-No,1496,1496,1080,–,68,1148,1496,97.93,15.28
482142002153,ANDREW JACKSON MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,1036,1036,748,–,104,852,†,61.57,16.83
480828007502,ANDREWS EDUCATION CENTER,Texas,1-Yes,2-No,2-No,2-No,2-No,41,41,20,–,3,23,41,5.75,7.13
480894000293,ANDREWS EL,Texas,2-No,2-No,2-No,2-No,2-No,353,353,313,–,0,313,†,25.9,13.63
482178005485,ANDREWS EL,Texas,2-No,2-No,2-No,2-No,2-No,526,526,271,–,2,273,†,33.5,15.7
483510009169,ANDREWS EL,Texas,2-No,2-No,2-No,2-No,2-No,574,574,34,–,5,39,†,38.9,14.76
480828000194,ANDREWS H S,Texas,1-Yes,2-No,2-No,2-No,2-No,1143,1143,355,–,57,412,1142,74.92,15.26
480828000195,ANDREWS MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,1026,1026,377,–,32,409,†,57.17,17.95
484122010786,ANDY DEKANEY H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2141,2141,1153,–,78,1231,2141,127.58,16.78
483879012468,ANGELA GERUSA LEAL EL,Texas,2-No,2-No,2-No,2-No,2-No,437,437,414,–,0,414,†,23.27,18.78
480831000200,ANGLETON H S,Texas,1-Yes,2-No,2-No,2-No,2-No,1951,1951,839,–,110,949,1951,111.76,17.46
480831009139,ANGLETON J H SCHOOL,Texas,2-No,2-No,2-No,2-No,2-No,1493,1493,805,–,111,916,†,79.07,18.88
483822009370,ANITA SCOTT EL,Texas,2-No,2-No,2-No,2-No,2-No,531,531,235,–,40,275,†,39,13.62
481218011448,ANN BROCK EL AT OAK GROVE,Texas,2-No,2-No,2-No,2-No,2-No,672,672,295,–,61,356,†,39.78,16.89
483885006171,ANN M GARCIA-ENRIQUEZ MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,542,542,497,–,0,497,†,38.5,14.08
482613008294,ANN RICHARDS MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,793,793,762,–,0,762,0,52.88,15
